Device Make,Device Model,Popular
Asus,J206,0
Asus,M530W,0
Asus,O2 Xda Zest,0
Asus,P505,0
Asus,P527,0
Asus,P550,0
Asus,P735,0
Asus,P750,0
Asus,Peg,0
ASUS,SL101/Eee Pad Slider,0
Asus,TF201,0
Asus,V66,0
Asus,V75,0
Asus,Vodafone 1520,0
Audiovox,CDM 8150,0
Audiovox,CDM-8200,0
Audiovox,CDM-8915/Snapper (Verizon Wireless),0
Audiovox,CDM180,0
Audiovox,CDM8450SP,0
Audiovox,CDM8615,0
Audiovox,CDM8910,0
Audiovox,CDM8912SP,0
Audiovox,CDM8915,0
Audiovox,CDM8930,0
Audiovox,CDM8940,0
Audiovox,CDM8945,0
Audiovox,PM-8920,0
Audiovox,SMT5600,0
Axioo,Picopad QGN,0
Axioo,Vigo 350,0
B-Mobile,EVE,0
B-Mobile,Q7,0
Barnes and Noble,BNTV250,0
Barnes and Noble,Nook,0
Barnes and Noble,Nook Color,0
BEKO,BC831,0
Bell Technology spol. s r.o.,Emgeton Enzo,0
Bellwave,NEO200,0
BenQ,3200,0
BenQ,Athena S830C,0
BenQ,E72,0
BenQ,E81,0
BenQ,M300,0
BenQ,Maui E800,0
BenQ,MD 300H (Momo Design),0
BenQ,Morpheus,0
BenQ,NIKE1,0
BenQ,P50,0
BenQ,S80/X4,0
BenQ,Siemens AP75,0
BenQ,Siemens AP75a,0
BenQ,SJT E861A,0
BenQ,T51HK,0
BenQ,Z2,0
BenQ-Siemens,C31,0
BenQ-Siemens,C81,0
BenQ-Siemens,E52,0
BenQ-Siemens,E61,0
BenQ-Siemens,E71,0
BenQ-Siemens,EF51,0
BenQ-Siemens,EF61,0
BenQ-Siemens,EF71,0
BenQ-Siemens,EF81,0
BenQ-Siemens,EL71,0
BenQ-Siemens,M81,0
BenQ-Siemens,S68,0
BenQ-Siemens,S81,0
BenQ-Siemens,SF71,0
Benss,B7,0
Bird,D610,0
Bird,D611,0
Bird,D615,0
Bird,D660,0
Bird,D718,0
Bird,E818,0
Bird,F501,0
Bird,F518,0
Bird,K298,0
Bird,k505,0
Bird,M19,0
Bird,S230,0
Bird,S305,0
Bird,S689,0
Bird,S701,0
Bird,S710,0
Bird,S789+,0
Bird,S918,0
Bird,SC24,0
Bird,V59,0
Bird,V750,0
Bird,V780,0
Bird,V788,0
Bleu,355X,0
Bleu,458x,0
Bleu,471x,0
Bleu,555X,0
Bleu,651Z,0
BLU,Studio 5.3,0
Bmorn,V99,0
Broncho,N701,0
Camangi,FM600,0
Capitel,C8188,0
Carrefour,CT1002,0
Carrefour,CT704,0
Casio,A3012CA,0
Casio,A5512CA,0
Casio,C311CA,0
Casio,C771,0
Casio,CA-01C,0
Casio,CA007,0
CDM,8935,0
CECT,A1000,0
CECT,MID TR718D,0
CECT,U600,0
CellTel,CBM,0
Cherry Mobile,Superion,0
CHT,8000,0
Cincinnati Bell,Blaze,0
Cingular,8100,0
Cisco,Cius,0
Cking,K1000 (Dual sim card),0
Coby,MID1024,0
Coby,MID1125,0
Coby,MID1126,0
Coby,MID7010,0
Coby,MID7012,0
Coby,MID7015/Kyros,0
Coby,MID7016,0
Coby,MID7024,0
Coby,MID7125,0
Coby,MID8024/Kyros,0
Coby,MID8120,0
Coby,MID8125,0
Coby,MID8127,0
Commtiva,Z71,0
Compal,D77,0
Coolpad,288,0
Coolpad,5860,0
Coolpad,8810,0
Coolpad,D530,0
Coolpad,E239,0
Coolpad,S100,0
Coolpad,W711,0
Creative,ZiiO 7 Inch,0
Cresta,CTP810,0
Cricket,A100,0
Cricket,A210/CAPTR II,0
Cricket,A310/MSGM8 II,0
Cricket,A410,0
Cricket,CAPTR A200,0
CSL,Mi300 Spice,0
CSL,MI410 Spice,0
CSL,Mi700 Spice,0
CUBE,U8,0
CUBE,U9GT2,0
Cydle,M7,0
Cyrus,K3410,0
CZC,P10T,0
Dai Telecom,G83,0
Dallab,DP900,0
Danger,Hiptop,0
Danger,Sidekick 4/Sidekick,0
Danger,SidekickIII,0
Daxian,D758,0
Dell,Aero,0
Dell,GS01,0
Dell,Mini 3iX,0
Dell,Mini 5,0
Dell,Streak,0
