Operating System,Operating System Version,Popularity
Android,4.1.8,0
Android,4.1.9,0
Android,4.11,0
Android,4.13,0
Android,4.2,0
Android,4.2.0,0
Android,4.2.1,0
Android,4.2.2,0
Android,4.2.7,0
Android,4.2.8,0
Android,4.20,0
Android,4.21,0
Android,4.3.3,0
Android,4.3.6,0
Android,4.3.7,0
Android,4.3.9,0
Android,4.4.4,0
Android,4.450,0
Android,4.5.1,0
Android,4.5.2,0
Android,4.5.5,0
Android,4.5.6,0
Android,4.7.1,0
Android,5.0,0
Android,5.0.0,0
Android,5.0.1,0
Android,5.0.2,0
Android,5.0.3,0
Android,5.0.4,0
Android,5.0.5,0
Android,5.0.7,0
Android,5.0.8,0
Android,5.0.9,0
Android,5.03,0
Android,5.1,0
Android,5.1.1,0
Android,5.1.3,0
Android,5.1.6,0
Android,5.10,0
Android,5.2.0,0
Android,5.2.1,0
Android,5.3.7,0
Android,5.5.3,0
Android,5.5.5,0
Android,5.7.4,0
Android,5.9.0,0
Android,5.9.9,0
Android,6.0,0
Android,6.0.3,0
Android,6.0.4,0
Android,6.1.8,0
Android,6.2.8,0
Android,6.57,0
Android,6.6.6,0
Android,7.0.1,0
Android,7.0.6,0
Android,7.7.7,0
Android,8.0.0,0
Android,8.0.1,0
Android,8.1.3,0
Android,8.8,0
Android,8.8.8,0
Android,9.0.1,0
Android,9.0.2,0
Android,9.0.5,0
Android,9.1.03,0
Android,9.3.16,0
Android,9.3.7,0
Android,9.3.9,0
Android,9.6.9,0
Android,9.8.0,0
Android,9.9,0
Android,9.9.1,0
Android,9.9.9,0
Android,9.9.9.9.9.9.9,0
Android,92.01.08,0
Android,99.1,0
Android,999.9,0
Android,9999.0.3,0
Android,99999.9,0
Android,999999.132,0
Android,Android 1.5,1
Android,Android 1.6,1
Android,Android 2.1 Update-1,0
Android,"Android 2.1, AMSS QSC Rel 3.4.70 + CR215855",1
Android,Android 2.2,0
Android,Android 2.2 / M76XXTSNCJPLYM6036,1
Android,"Android 2.2, SBAQ6085BSNACAZ4390",1
Android,"Android 2.2.1, M76XXTSNCJPLYM6040",1
Android,"Android 2.2.2, M76XXTSNCJNLYA6050",0
Android,"Android 2.3.3, SBAQ6085BSNACAZ4390",1
Android,Android OS 2.1,0
Android,Android/2.2,0
Android,Android/2.3,1
Android,DMSS7600/Cupcake,1
Android,V1.11.19,1
Android,v2.3,1
Bada,1.0,0
Bada,1.1,0
Bada,1.2,0
Bada,2,0
Bada,2.0,0
BREW,2.1,0
BREW,3.1,0
BREW,3.1.5,0
BREW,3.2,0
BREW,4,0
BREW,4.0,0
BREW,5.0,0
iOS,1.0,0
iOS,1.3.5,0
iOS,1.4.5,0
iOS,1.4.5.1,0
iOS,10,0
iOS,10_1,0
iOS,10_1_1,0
iOS,10_5,0
iOS,10_7_1,0
iOS,11_0_0,0
iOS,1_1_1,0
iOS,1_1_3,0
iOS,1_1_5,0
iOS,2,0
iOS,2.1.0,0
iOS,2.1.2,0
iOS,2.2.4,0
iOS,2.6.26,0
iOS,2_0,0
iOS,2_0_1,0
iOS,2_0_2,0
iOS,2_1,1
iOS,2_1_1,0
iOS,2_2,1
iOS,2_2_1,1
iOS,2_3_1,0
iOS,2_5,0
iOS,3.0,1
iOS,3_0,1
iOS,3_0_1,1
iOS,3_0_3,1
iOS,3_1,1
iOS,3_12,0
iOS,3_1_1,1
iOS,3_1_2,1
iOS,3_1_3,1
iOS,3_1_5,0
iOS,3_2,1
iOS,3_2_1,1
iOS,3_2_2,1
iOS,3_2_5,0
iOS,4,1
iOS,4_0,1
iOS,4_02,0
iOS,4_0_0,0
iOS,4_0_1,1
iOS,4_0_2,1
iOS,4_0_3,0
iOS,4_1,1
iOS,4_1_,0
iOS,4_1_0,0
iOS,4_1_1,0
iOS,4_1_2,0
iOS,4_1_3,0
iOS,4_2,1
iOS,4_20,0
iOS,4_21,0
iOS,4_2_0,0
iOS,4_2_1,1
iOS,4_2_10,1
iOS,4_2_2,0
iOS,4_2_3,0
iOS,4_2_5,1
iOS,4_2_6,1
iOS,4_2_7,1
iOS,4_2_8,1
iOS,4_2_9,1
iOS,4_3,1
iOS,4_33,0
iOS,4_3_,0
iOS,4_3_0,0
iOS,4_3_1,1
iOS,4_3_2,1
iOS,4_3_3,1
iOS,4_3_4,1
iOS,4_3_5,1
iOS,4_3_7,0
iOS,4_3_9,0
iOS,4_4_3,0
iOS,4_4_4,0
iOS,4_5_1,0
iOS,4_5_3,0
iOS,4_8_3,0
iOS,5,1
iOS,51,0
iOS,511,0
iOS,5_0,1
iOS,5_01,0
iOS,5_0_,0
iOS,5_0_0,0
iOS,5_0_07,0
iOS,5_0_1,1
iOS,5_0_11,0
iOS,5_0_2,0
iOS,5_0_3,0
iOS,5_1,1
iOS,5_10,0
iOS,5_11,0
iOS,5_1_,0
iOS,5_1_0,0
iOS,5_1_1,1
iOS,5_1_2,0
iOS,5_1_7,0
iOS,5_2,0
iOS,5_2_1,0
iOS,5_2_2,0
iOS,5_2_5,0
iOS,5_3,0
iOS,5_3_1,0
iOS,5_3_3,0
iOS,5_4_1,0
iOS,5_5,0
iOS,5_51_1,0
iOS,5_5_5,0
iOS,5_9,0
iOS,5_9_1,0
iOS,6,0
iOS,60000000000000,0
iOS,6_0,1
iOS,6_0_1,0
iOS,6_0_5,0
iOS,6_0_6,0
iOS,6_1,0
iOS,6_1_1,0
iOS,6_1_3,0
iOS,6_2_1,0
iOS,6_2_6,0
iOS,6_6_6,0
iOS,7_0,0
iOS,7_0_1,0
iOS,7_1,0
iOS,7_2,0
iOS,7_2_1,0
iOS,7_4_2,0
iOS,8.4,0
iOS,892_467,0
iOS,8_0,0
iOS,8_0_1,0
iOS,8_3,0
iOS,8_8_8,0
iOS,9_0,0
iOS,9_3,0
L4,AMSS6055,0
L4,AMSS6055/3.3.504,0
L4,AMSS6055/52529,0
L4,AMSS6075/53204,0
L4,AMSS6075T/52527,0
L4,AMSS6075turbo/5.3,0
L4,AMSS6085/3.1,0
L4,AMSS6085/3.2,0
L4,AMSS6085/3.3,0
L4,AMSS6085/5.3,0
L4,AMSS6800/5.3,0
L4,AMSS6800/53203,0
L4,AMSS6801/53204,0
L4,AMSS6801/63503,0
L4,AMSS7625/3540,0
L4,CB23,0
L4,CG21,0
L4,DMSS6800,0
L4,MSM6575,0
L4,QSC6075,0
Linux,1.2,0
Linux,2,0
Linux,2.2.0,0
Linux,2.6.10,0
Linux,2.6.2,0
Linux,2.6.26,0
Linux,Maemo 4.0,0
Linux,Maemo 5 software on Linux,0
Linux,None,0
Nokia OS,1.0,0
Nokia OS,3,0
Nokia OS,4.0,0
Nokia OS,6.1,0
Nokia OS,7.0s,0
Nokia OS,9.3,0
Nokia OS,DCT4,0
Nokia OS,N100VXXXX,0
Nokia OS,Series 40 3rd Edition,0
Nokia OS,Series 40 3rd Edition Feature Pack 1,0
Nokia OS,Series 40 3rd Edition Feature Pack 2,0
Nokia OS,Series 40 5th Edition,0
Nokia OS,Series 40 5th Edition Feature Pack 1,0
Nokia OS,Series 40 5th Edition LE,0
Nokia OS,v9.3,0
Nucleusplus,V1.11.19,0
PalmOS,5.2.1,0
PalmOS,5.2.8,0
PalmOS,5.4,0
PalmOS,5.4.9,0
REX,4.03,0
REX,AMSS6055,0
REX,AMSS6075,0
REX,AMSS6500,0
REX,AMSS6500/5.3,0
REX,AMSS6500/5.3.80,0
REX,AMSS6500/5019,0
REX,AMSS6500/5380,0
REX,AMSS6500/6.3.40,0
REX,AMSS6500/6.5,0
REX,AMSS6500/6.5.30,0
REX,AMSS6500/6.5.60,0
REX,AMSS6500/6.7.30,0
REX,AMSS6500/6430,0
REX,AMSS6500CSNVC5003,0
REX,AMSS6550,0
REX,AMSS6550/4.3 patch2,0
REX,AMSS6550/4430,0
REX,AMSS6800,0
REX,AMSS7600,0
REX,BG24,0
REX,DMSS5100,0
REX,DMSS5100/2.0,0
REX,DMSS6025,0
REX,DMSS6050,0
REX,DMSS6050/3.0,0
REX,DMSS6050/3.1,0
REX,DMSS6050/3.1.2,0
REX,DMSS6050/3.2,0
REX,DMSS6050/3.2.201,0
REX,DMSS6050/3.3,0
REX,DMSS6050/3.6,0
REX,DMSS6050/3.8,0
REX,DMSS6050/3.8.2,0
REX,DMSS6055/3.3,0
REX,DMSS6100,0
REX,DMSS6100/5.1,0
REX,DMSS6100/5.2,0
REX,DMSS6100/6.2,0
REX,DMSS6100/6.3,0
REX,DMSS6100/6.5,0
REX,DMSS6100/6.7,0
REX,DMSS6100/6.7 patch,0
REX,DMSS6100/6.7.70,0
REX,DMSS6100L,0
REX,DMSS6500,0
REX,DMSS6500/5.3.8,0
REX,DMSS6500/6.3.40,0
REX,DMSS6550/4.3,0
REX,MSM6575,0
REX,MSS6100/5.2,0
REX,Q6085,0
REX,Q6085BSNAXAZ3150,0
REX,Q6085BSNAXAZ3250,0
REX,QSC6050,0
REX,QSC6055,0
REX,QSC6075,0
RIM,0.9,0
RIM,1.0,1
RIM,1.0.0,0
RIM,2.13.0,0
RIM,2.3.0,0
RIM,2.4.0,0
RIM,2.5.0,0
RIM,2.6.0,0
RIM,2.7.0,0
RIM,3.0.0,0
RIM,3.1.0,0
RIM,3.2.0,0
RIM,3.3.0,0
RIM,3.4.0,0
RIM,3.5.0,0
RIM,3.6.0,0
RIM,3.6.1,0
RIM,3.7.1,0
RIM,3.7.2,0
RIM,3.7.3,0
RIM,3.8.0,0
RIM,4.0.0,0
RIM,4.0.2,0
RIM,4.1.0,1
RIM,4.1.02,0
RIM,4.1.03,0
RIM,4.2.0,1
RIM,4.2.1,1
RIM,4.2.2,1
RIM,4.3.0,1
RIM,4.3.1,0
RIM,4.3.2,1
RIM,4.4.0,0
RIM,4.5.0,1
RIM,4.6.0,1
RIM,4.6.1,1
RIM,4.7.0,1
RIM,4.7.1,1
RIM,44.6.0,0
RIM,5.0,0
RIM,5.0.0,1
RIM,5.1.0,0
RIM,5.2.0,1
RIM,6.0,0
RIM,6.0.0,1
RIM,6.1.0,1
RIM,6.2.0,1
RIM,6.3.0,1
RIM,6.4.0,0
RIM,6.5.0,0
RIM,6.6.0,0
RIM,7,1
RIM,7.0,1
RIM,7.0.0,1
RIM,7.1,1
RIM,7.1.0,1
RIM,8.0.0,0
RIM,8.4,0
RIM,9.0.0,0
RIM,9.16.0,0
RIM,9.32.0,0
RIM,9.49.0,0
RIM,9.50.0,0
RIM,9.6.0,0
Symbian,3,0
Symbian,3.0,0
Symbian,3.2,0
Symbian,5.2,0
Symbian,6.0,0
Symbian,6.1,0
Symbian,7.0,0
Symbian,7.0s,0
Symbian,8.0,0
Symbian,8.0a,0
Symbian,8.1a,0
Symbian,80,0
Symbian,9.1,0
Symbian,9.2,0
Symbian,9.3,0
Symbian,9.3 http://sw.nokia.com/DP-1/OperatingSystem/symbian.os,0
Symbian,9.313,0
Symbian,9.4,0
Symbian,9.4 Series 60 5th Edition,0
Symbian,9.5,0
Symbian,^3,0
Symbian,Foundation : key.TechSpec.OpenGles20,0
Symbian,http://sw.nokia.com/DP-1/OperatingSystem/symbian.os,0
Symbian,http://sw.nokia.com/DP-1/OperatingSystem/symbian.os 9.3,0
Symbian,http://sw.nokia.com/DP-1/OperatingSystem/symbian.os 9.4,0
Symbian,JavaPlatform3 Uiq3.0,0
Symbian,None,0
Symbian,UIQ2.0,0
Symbian,UIQ2.1,0
Symbian,UIQ3.0,0
Symbian,V1.11.19,0
Symbian,v9.4,0
VRTXmc,None,0
VRTXmc,SUAPI_C_2.0.11_R_ADS1.1,0
WebOS,1.0,0
WebOS,1.1,0
WebOS,1.2,0
WebOS,1.2.9,0
WebOS,1.2.9.1,0
WebOS,1.3.1,0
WebOS,1.3.2,0
WebOS,1.3.5,0
WebOS,1.3.5.1,0
WebOS,1.4.0,0
WebOS,1.4.1,0
WebOS,1.4.1.1,0
WebOS,1.4.1.2,0
WebOS,1.4.3,0
WebOS,1.4.5,0
WebOS,1.4.5.1,0
WebOS,2,0
WebOS,2.0,0
WebOS,2.1.0,0
WebOS,2.2.0,0
WebOS,2.2.3,0
WebOS,2.2.4,0
WebOS,2.2.5,0
WebOS,3.0.0,0
WebOS,3.0.1,0
WebOS,3.0.2,0
WebOS,3.0.2.1,0
WebOS,3.0.3,0
WebOS,3.0.4,0
WebOS,3.0.5,0
WebOS,3.0.6,0
Windows,1.0.x.x,0
Windows,3,0
Windows,5.0,0
Windows,5.2,0
Windows,6,0
Windows,6.0,0
Windows,6.1,1
Windows,6.1 Professional,0
Windows,6.5,1
Windows,61,1
Windows,65,0
Windows,7,1
Windows,7.0,1
Windows,7.2,0
Windows,7.5,1
Windows,8.0,0
Windows,8.4,0
Windows,8.5,0
Windows,9.2,0
Windows,DMSS7500/6.0,1
Windows,Mobile6.5,0
Windows,None,0
Windows,NT 5.1,0
Windows,Palm Garnet 5..4.9,0
Windows,Q6085CSNAATZ5252,1
Windows,Windown Mobile 6,0
Windows,Windows Media V6.1,1
Windows,Windows Mobile 6 Pro,0
Windows,Windows Mobile 6.1,0
Windows,Windows Mobile 6.1 Professional,0
Windows,Windows Mobile 6.5,0
Windows,Windows Mobile 6.5 Professional,0
Windows,Windows OS 7,1
Windows,Windows Phone 7,1
Windows,Windows Phone 7.0,0
Windows,Windows Phone 7.5,0
Windows,WM6,0
